"SEX"	"mage"	"grp"	"firstmar"	"pct"
2	15	"A"	0	0.4152
2	15	"B"	0	0.5093
2	15	"N"	0	0.2226
2	15	"W"	0	0.2337
2	16	"A"	0	0.2436
2	16	"B"	0	0.4275
2	16	"N"	0	0.7673
2	16	"W"	0	0.3519
2	17	"A"	0	0.5135
2	17	"B"	0	0.4188
2	17	"N"	0	0.5157
2	17	"W"	0	0.7368
2	18	"A"	0	0.929
2	18	"B"	0	1.2084
2	18	"N"	0	3.2805
2	18	"W"	0	1.6165
2	19	"A"	0	1.3211
2	19	"B"	0	1.4128
2	19	"N"	0	3.1182
2	19	"W"	0	2.5217
2	20	"A"	0	1.4428
2	20	"B"	0	2.1438
2	20	"N"	0	3.7371
2	20	"W"	0	3.084
2	21	"A"	0	2.7331
2	21	"B"	0	2.7275
2	21	"N"	0	6.8364
2	21	"W"	0	3.8075
2	22	"A"	0	3.6017
2	22	"B"	0	3.255
2	22	"N"	0	3.2151
2	22	"W"	0	4.7134
2	23	"A"	0	5.1758
2	23	"B"	0	3.6896
2	23	"N"	0	4.2855
2	23	"W"	0	4.9766
2	24	"A"	0	6.3146
2	24	"B"	0	4.208
2	24	"N"	0	3.727
2	24	"W"	0	5.3258
2	25	"A"	0	7.4678
2	25	"B"	0	3.87
2	25	"N"	0	4.1446
2	25	"W"	0	5.5939
2	26	"A"	0	8.6815
2	26	"B"	0	5.0245
2	26	"N"	0	5.0779
2	26	"W"	0	5.6305
2	27	"A"	0	7.207
2	27	"B"	0	4.3515
2	27	"N"	0	5.3911
2	27	"W"	0	5.2831
2	28	"A"	0	6.6416
2	28	"B"	0	4.5311
2	28	"N"	0	3.8918
2	28	"W"	0	4.7749
2	29	"A"	0	5.9398
2	29	"B"	0	4.5841
2	29	"N"	0	3.3874
2	29	"W"	0	4.4838
2	30	"A"	0	5.2057
2	30	"B"	0	4.0781
2	30	"N"	0	2.7195
2	30	"W"	0	4.0228
2	31	"A"	0	4.3443
2	31	"B"	0	3.6758
2	31	"N"	0	2.7182
2	31	"W"	0	3.481
2	32	"A"	0	3.3732
2	32	"B"	0	3.5445
2	32	"N"	0	2.8993
2	32	"W"	0	2.9742
2	33	"A"	0	2.6999
2	33	"B"	0	3.3825
2	33	"N"	0	2.4742
2	33	"W"	0	2.6236
2	34	"A"	0	2.6613
2	34	"B"	0	3.1029
2	34	"N"	0	3.2792
2	34	"W"	0	2.3301
2	35	"A"	0	2.4355
2	35	"B"	0	2.5406
2	35	"N"	0	1.0465
2	35	"W"	0	2.0358
2	36	"A"	0	2.2338
2	36	"B"	0	2.5373
2	36	"N"	0	1.356
2	36	"W"	0	1.9152
2	37	"A"	0	1.3515
2	37	"B"	0	2.7434
2	37	"N"	0	1.6755
2	37	"W"	0	1.7463
2	38	"A"	0	1.5273
2	38	"B"	0	2.0909
2	38	"N"	0	2.1383
2	38	"W"	0	1.6859
2	39	"A"	0	1.4601
2	39	"B"	0	2.5167
2	39	"N"	0	2.2541
2	39	"W"	0	1.6154
2	40	"A"	0	1.1839
2	40	"B"	0	2.0725
2	40	"N"	0	1.7773
2	40	"W"	0	1.4843
2	41	"A"	0	1.3835
2	41	"B"	0	2.1386
2	41	"N"	0	2.0276
2	41	"W"	0	1.4145
2	42	"A"	0	0.8555
2	42	"B"	0	1.7212
2	42	"N"	0	1.8578
2	42	"W"	0	1.4929
2	43	"A"	0	0.913
2	43	"B"	0	1.8209
2	43	"N"	0	1.4163
2	43	"W"	0	1.2253
2	44	"A"	0	0.8039
2	44	"B"	0	1.567
2	44	"N"	0	2.1446
2	44	"W"	0	1.2646
2	45	"A"	0	0.5031
2	45	"B"	0	1.5805
2	45	"N"	0	1.5522
2	45	"W"	0	1.1183
2	46	"A"	0	0.5828
2	46	"B"	0	1.4802
2	46	"N"	0	1.7031
2	46	"W"	0	1.1374
2	47	"A"	0	0.8576
2	47	"B"	0	1.5024
2	47	"N"	0	2.6943
2	47	"W"	0	1.0671
2	48	"A"	0	0.7131
2	48	"B"	0	1.3401
2	48	"N"	0	2.1132
2	48	"W"	0	0.9785
2	49	"A"	0	0.651
2	49	"B"	0	1.4916
2	49	"N"	0	0.5396
2	49	"W"	0	1.08
2	50	"A"	0	0.7477
2	50	"B"	0	0.897
2	50	"N"	0	0.5384
2	50	"W"	0	0.9429
2	51	"A"	0	0.5474
2	51	"B"	0	1.1851
2	51	"N"	0	0.6968
2	51	"W"	0	0.886
2	52	"A"	0	0.4002
2	52	"B"	0	0.9477
2	52	"N"	0	0.6075
2	52	"W"	0	0.8862
2	53	"A"	0	0.5876
2	53	"B"	0	0.9449
2	53	"N"	0	0.473
2	53	"W"	0	0.7917
2	54	"A"	0	0.4227
2	54	"B"	0	0.8796
2	54	"N"	0	0.6465
2	54	"W"	0	0.7024
2	55	"A"	0	0.2757
2	55	"B"	0	0.6702
2	55	"N"	0	0.1472
2	55	"W"	0	0.6062
2	56	"A"	0	0.2988
2	56	"B"	0	0.7271
2	56	"N"	0	0.3874
2	56	"W"	0	0.6324
2	57	"A"	0	0.2755
2	57	"B"	0	0.6449
2	57	"N"	0	0.8038
2	57	"W"	0	0.5053
2	58	"A"	0	0.3192
2	58	"B"	0	0.3705
2	58	"N"	0	0.1497
2	58	"W"	0	0.4929
2	59	"A"	0	0.3625
2	59	"B"	0	0.4257
2	59	"N"	0	0.6289
2	59	"W"	0	0.3616
2	60	"A"	0	0.1544
2	60	"B"	0	0.5472
2	60	"N"	0	0.4906
2	60	"W"	0	0.3924
2	61	"A"	0	0.2203
2	61	"B"	0	0.3652
2	61	"N"	0	0.6038
2	61	"W"	0	0.3417
2	62	"A"	0	0.1601
2	62	"B"	0	0.3653
2	62	"N"	0	0.083
2	62	"W"	0	0.3193
2	63	"A"	0	0.1485
2	63	"B"	0	0.2679
2	63	"N"	0	0.2616
2	63	"W"	0	0.2841
2	64	"A"	0	0.0366
2	64	"B"	0	0.2049
2	64	"W"	0	0.2532
2	65	"A"	0	0.1312
2	65	"B"	0	0.17
2	65	"N"	0	0.2943
2	65	"W"	0	0.2127
2	66	"A"	0	0.0217
2	66	"B"	0	0.1418
2	66	"N"	0	0.0566
2	66	"W"	0	0.199
2	67	"A"	0	0.0733
2	67	"B"	0	0.1979
2	67	"N"	0	0.1572
2	67	"W"	0	0.1523
2	68	"B"	0	0.1159
2	68	"N"	0	0.0629
2	68	"W"	0	0.1533
2	69	"A"	0	0.0848
2	69	"B"	0	0.1243
2	69	"N"	0	0.0302
2	69	"W"	0	0.145
2	70	"A"	0	0.1024
2	70	"B"	0	0.0441
2	70	"N"	0	0.0931
2	70	"W"	0	0.1399
2	71	"A"	0	0.0371
2	71	"B"	0	0.0836
2	71	"N"	0	0.2151
2	71	"W"	0	0.1041
2	72	"A"	0	0.0446
2	72	"B"	0	0.0451
2	72	"N"	0	0.4717
2	72	"W"	0	0.1092
2	73	"A"	0	0.0207
2	73	"B"	0	0.0427
2	73	"W"	0	0.073
2	74	"A"	0	0.0055
2	74	"B"	0	0.025
2	74	"W"	0	0.0627
2	75	"A"	0	0.0185
2	75	"B"	0	0.0412
2	75	"N"	0	0.0767
2	75	"W"	0	0.0694
2	76	"B"	0	0.0237
2	76	"W"	0	0.0418
2	77	"B"	0	0.0418
2	77	"W"	0	0.04
2	78	"B"	0	0.02
2	78	"N"	0	0.039
2	78	"W"	0	0.0378
2	79	"B"	0	0.0321
2	79	"W"	0	0.0389
2	80	"B"	0	0.0138
2	80	"W"	0	0.0479
2	81	"A"	0	0.0215
2	81	"W"	0	0.0308
2	82	"A"	0	0.0855
2	82	"B"	0	0.0165
2	82	"W"	0	0.0238
2	83	"A"	0	0.0192
2	83	"W"	0	0.0199
2	84	"W"	0	0.0101
2	85	"B"	0	0.0055
2	85	"W"	0	0.0165
2	86	"B"	0	0.0107
2	86	"W"	0	0.0055
2	87	"B"	0	0.0132
2	87	"W"	0	0.0022
2	88	"B"	0	0.0143
2	88	"W"	0	0.0133
2	89	"B"	0	0.0287
2	89	"W"	0	0.0041
2	90	"A"	0	0.0087
2	90	"B"	0	0.0067
2	90	"W"	0	0.0021
2	91	"B"	0	0.0086
2	91	"W"	0	0.004
2	92	"W"	0	0.0044
2	93	"W"	0	0.0041
2	94	"W"	0	0.0071
1	15	"H"	0	0.3194
1	16	"H"	0	0.3717
1	17	"H"	0	0.7888
1	18	"H"	0	1.4859
1	19	"H"	0	1.9681
1	20	"H"	0	2.6392
1	21	"H"	0	3.4255
1	22	"H"	0	4.0771
1	23	"H"	0	4.5695
1	24	"H"	0	4.8451
1	25	"H"	0	4.5125
1	26	"H"	0	4.7001
1	27	"H"	0	5.1371
1	28	"H"	0	4.9954
1	29	"H"	0	4.7375
1	30	"H"	0	4.4436
1	31	"H"	0	4.2183
1	32	"H"	0	3.4409
1	33	"H"	0	3.2532
1	34	"H"	0	2.9633
1	35	"H"	0	3.0872
1	36	"H"	0	2.4407
1	37	"H"	0	2.5502
1	38	"H"	0	2.5289
1	39	"H"	0	2.0794
1	40	"H"	0	2.008
1	41	"H"	0	1.7458
1	42	"H"	0	1.4923
1	43	"H"	0	1.3402
1	44	"H"	0	1.3126
1	45	"H"	0	1.1738
1	46	"H"	0	1.129
1	47	"H"	0	1.3645
1	48	"H"	0	0.7975
1	49	"H"	0	0.827
1	50	"H"	0	0.7179
1	51	"H"	0	0.7335
1	52	"H"	0	0.6297
1	53	"H"	0	0.6803
1	54	"H"	0	0.6082
1	55	"H"	0	0.4348
1	56	"H"	0	0.2851
1	57	"H"	0	0.3754
1	58	"H"	0	0.3603
1	59	"H"	0	0.3236
1	60	"H"	0	0.2599
1	61	"H"	0	0.3029
1	62	"H"	0	0.1496
1	63	"H"	0	0.1802
1	64	"H"	0	0.1413
1	65	"H"	0	0.1352
1	66	"H"	0	0.196
1	67	"H"	0	0.1159
1	68	"H"	0	0.0439
1	69	"H"	0	0.0775
1	70	"H"	0	0.0156
1	71	"H"	0	0.0435
1	72	"H"	0	0.0522
1	73	"H"	0	0.0413
1	74	"H"	0	0.0763
1	75	"H"	0	0.0167
1	76	"H"	0	0.0426
1	77	"H"	0	0.0062
1	78	"H"	0	0.0277
1	79	"H"	0	0.0039
1	80	"H"	0	0.0298
1	81	"H"	0	0.0422
1	82	"H"	0	0.0147
1	83	"H"	0	0.0183
1	84	"H"	0	0.0098
1	85	"H"	0	0.0206
1	90	"H"	0	0.0098
1	94	"H"	0	0.0085
2	15	"H"	0	0.4879
2	16	"H"	0	0.8418
2	17	"H"	0	1.3603
2	18	"H"	0	3.1779
2	19	"H"	0	3.753
2	20	"H"	0	3.9618
2	21	"H"	0	4.8982
2	22	"H"	0	4.599
2	23	"H"	0	4.5884
2	24	"H"	0	4.8237
2	25	"H"	0	4.6965
2	26	"H"	0	5.1632
2	27	"H"	0	4.377
2	28	"H"	0	4.627
2	29	"H"	0	4.1498
2	30	"H"	0	3.9341
2	31	"H"	0	3.8699
2	32	"H"	0	3.0288
2	33	"H"	0	3.0597
2	34	"H"	0	3.0175
2	35	"H"	0	2.3483
2	36	"H"	0	2.1822
2	37	"H"	0	2.2166
2	38	"H"	0	1.8577
2	39	"H"	0	1.6809
2	40	"H"	0	1.6219
2	41	"H"	0	1.6068
2	42	"H"	0	1.324
2	43	"H"	0	1.2209
2	44	"H"	0	1.1956
2	45	"H"	0	0.9517
2	46	"H"	0	1.0714
2	47	"H"	0	0.8698
2	48	"H"	0	0.8458
2	49	"H"	0	0.8901
2	50	"H"	0	0.6856
2	51	"H"	0	0.6362
2	52	"H"	0	0.5312
2	53	"H"	0	0.5484
2	54	"H"	0	0.3614
2	55	"H"	0	0.3566
2	56	"H"	0	0.4505
2	57	"H"	0	0.3008
2	58	"H"	0	0.2722
2	59	"H"	0	0.2066
2	60	"H"	0	0.2108
2	61	"H"	0	0.1581
2	62	"H"	0	0.1731
2	63	"H"	0	0.1249
2	64	"H"	0	0.0653
2	65	"H"	0	0.0599
2	66	"H"	0	0.0862
2	67	"H"	0	0.0608
2	68	"H"	0	0.0428
2	69	"H"	0	0.0268
2	70	"H"	0	0.0871
2	71	"H"	0	0.0353
2	72	"H"	0	0.0276
2	73	"H"	0	0.0427
2	74	"H"	0	0.0102
2	75	"H"	0	0.0284
2	76	"H"	0	0.006
2	77	"H"	0	0.0209
2	78	"H"	0	0.0211
